heure,zone,catr,grav,lat,long
16,1,3,3,47.197887,4.904057
23,1,3,1,44.337655,4.610438
23,1,3,3,44.337655,4.610438
16,1,3,4,50.118153,4.789677
06,1,2,1,45.584735,4.860377
06,1,2,2,45.584735,4.860377
12,1,4,1,45.818954,5.093019
12,1,4,3,45.818954,5.093019
05,1,3,2,45.58853056,4.82792004
21,1,3,1,46.71965,-1.8674635
21,1,3,2,46.71965,-1.8674635
16,2,4,1,47.21679,-1.696683
16,2,4,3,47.21679,-1.696683
23,1,3,1,43.7797404,1.9904181
23,1,3,3,43.7797404,1.9904181
03,2,4,4,45.878843,-1.224385
09,2,4,1,49.017076,1.097972
09,2,4,4,49.017076,1.097972
17,1,4,2,48.465363,-2.746485
16,2,4,1,50.63651503,1.58420321
16,2,4,3,50.63651503,1.58420321
16,1,3,3,49.783796,1.446408
16,1,3,4,49.783796,1.446408
09,1,1,1,43.28616401,5.42968295
09,1,1,4,43.28616401,5.42968295
22,1,1,1,44.92829,-0.47047
22,1,1,4,44.92829,-0.47047
01,1,1,4,43.3192082,5.5917233
05,1,2,3,48.72748247,2.36881971
